date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:39	184173/184173	---M--	200	added ('OK')	image/gif	etag:%2298c31bd872ce53bf3770e23d8d122366%22	https://i.imgur.com/yFxpfX7.gif	J:/Rofid/Website%20Copy/Sastec/i.imgur.com/yFxpfX7.gif	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:39	7980/7980	---M--	200	added ('OK')	image/png	etag:%2274f52e3bbdc4e414958c87de39da3317%22	https://i.imgur.com/07QaV0T.png	J:/Rofid/Website%20Copy/Sastec/i.imgur.com/07QaV0T.png	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:40	11432/11432	---M--	200	added ('OK')	image/png	etag:%22179c4ed024873619950ace1dd422e2cb%22	https://i.imgur.com/HCULsAn.png	J:/Rofid/Website%20Copy/Sastec/i.imgur.com/HCULsAn.png	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:40	46005/46005	---M--	200	added ('OK')	image/png	etag:%22fdc793be060b71c00c6657c99f65edba%22	https://i.imgur.com/BX8RsB5.png	J:/Rofid/Website%20Copy/Sastec/i.imgur.com/BX8RsB5.png	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:40	16488/16488	---M--	200	added ('OK')	image/png	etag:%22da0702bbdf8b64cc0889a2e76eda5036%22	https://i.imgur.com/n5W2Aa2.png	J:/Rofid/Website%20Copy/Sastec/i.imgur.com/n5W2Aa2.png	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:41	53677/53677	---M--	200	added ('OK')	image/png	etag:%221cd1ae4bc8e609e1730665dd709565d2%22	https://i.imgur.com/QEOjy7G.png	J:/Rofid/Website%20Copy/Sastec/i.imgur.com/QEOjy7G.png	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:41	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202020%2017:43:42%20GMT	https://affiliaya.github.io/offerus/wp-content/themes/astra/assets/js/minified/style.min.js?ver=2.3.3	J:/Rofid/Website%20Copy/Sastec/affiliaya.github.io/offerus/wp-content/themes/astra/assets/js/minified/style.min.1fb6db.delayed	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:42	10335/10335	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7065a9-285f%22	https://affiliaya.itproffer.design/wp-content/themes/astra/assets/js/minified/style.min.js?ver=2.3.3	J:/Rofid/Website%20Copy/Sastec/affiliaya.itproffer.design/wp-content/themes/astra/assets/js/minified/style.minb6db.js	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:42	93510/93510	---M--	200	added ('OK')	image/png	etag:%22b2bce806460d4daed85c4fdaba7b1274%22	https://i.imgur.com/UFwkCwR.png	J:/Rofid/Website%20Copy/Sastec/i.imgur.com/UFwkCwR.png	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:42	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202020%2017:43:43%20GMT	https://affiliaya.github.io/offerus/wp-includes/js/imagesloaded.min.js?ver=3.2.0	J:/Rofid/Website%20Copy/Sastec/affiliaya.github.io/offerus/wp-includes/js/imagesloaded.min.2155a0.delayed	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:42	8113/8113	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e7065a9-1fb1%22	https://affiliaya.itproffer.design/wp-includes/js/imagesloaded.min.js?ver=3.2.0	J:/Rofid/Website%20Copy/Sastec/affiliaya.itproffer.design/wp-includes/js/imagesloaded.min55a0.js	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:43	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2029%20Mar%202020%2017:43:44%20GMT	https://affiliaya.github.io/offerus/wp-includes/js/masonry.min.js?ver=3.3.2	J:/Rofid/Website%20Copy/Sastec/affiliaya.github.io/offerus/wp-includes/js/masonry.min.23d617.delayed	(from https://affiliaya.itproffer.design/saspreselltec/)
23:43:43	63135/63135	---M--	200	added ('OK')	image/png	etag:%224f15c3e0c53f929533b81428169fb142%22	https://i.imgur.com/rzMrUOU.png	J:/Rofid/Website%20Copy/Sastec/i.imgur.com/rzMrUOU.png	(from https://affiliaya.itproffer.design/saspreselltec/)
